filename	celltype	description	tissue
5mC_gametmas_all_sorted.bed	5mC	gamet	mas
5mC_gametmenos_all_sorted.bed	5mC	gamet	menos
5mC_vegmas_all_sorted.bed	5mC	vegetative	mas
5mC_vegmenos_all_sorted.bed	5mC	vegetative	menos
5mC_zyg1h_all_sorted.bed	5mC	zygot	1h
5mC_zyg24h_all_sorted.bed	5mC	zygot	24h
5mC_zyg6d_all_sorted.bed	5mC	zygot	6d
5mC_zygger_all_sorted.bed	5mC	zygot	all
6mA_dark_sortfilt.bed	6mA	dark	control
6mA_light_sortfilt.bed	6mA	light	control
H3K27ac-merged_sortfilt.bed	H3K27ac	control	control
H3K27ac-N-1h_merged_sortfilt.bed	H3K27ac	Nitrogen	1h
H3K27ac-R1-S-1h_sortfilt.bed	H3K27ac	Sulphur	1h
H3K27me3-R1_sortfilt.bed	H3K27me3	control	control
H3K27me3-R1-N-1h_sortfilt.bed	H3K27me3	Nitrogen	1h
H3K27me3-R1-S-1h_sortfilt.bed	H3K27me3	Sulphur	1h
H3K36me3-R1_sortfilt.bed	H3K36me3	control	control
H3K36me3-R1-N-1h_sortfilt.bed	H3K36me3	Nitrogen	1h
H3K36me3-S-1h_merged_sortfilt.bed	H3K36me3	Sulphur	1h
H3K4m3-merged_sortfilt.bed	H3K4me3	control	control
H3K4me2-R1_sortfilt.bed	H3K4me2	control	control
H3K4me3-N-1h_merged_sortfilt.bed	H3K4me3	Nitrogen	1h
H3K4me3-R1-N-10min_sortfilt.bed	H3K4me3	Nitrogen	10min
H3K4me3-R1-N-24h_sortfilt.bed	H3K4me3	Nitrogen	24h
H3K4me3-R1-N-2h_sortfilt.bed	H3K4me3	Nitrogen	2h
H3K4me3-R1-N-30min_sortfilt.bed	H3K4me3	Nitrogen	30min
H3K4me3-R1-N-48h_sortfilt.bed	H3K4me3	Nitrogen	48h
H3K4me3-R1-N-6h_sortfilt.bed	H3K4me3	Nitrogen	6h
H3K4me3-R1-N-8h_sortfilt.bed	H3K4me3	Nitrogen	8h
H3K4me3-R1-S-1h_sortfilt.bed	H3K4me3	Sulphur	1h
H3K9me3-R1_sortfilt.bed	H3K9me3	control	control
H3K9me3-R1-N-1h_sortfilt.bed	H3K9me3	Nitrogen	1h
H3K9me3-R1-S-1h_sortfilt.bed	H3K9me3	Sulphur	1h
nucleosome_sortfilt.bed	Nucleosome	control	control
Pol2-R1_sortfilt.bed	RNApolII	control	control
Pol2-R1-N-1h_sortfilt.bed	RNApolII	Nitrogen	1h
Pol2-R1-S-1h_sortfilt.bed	RNApolII	Sulphur	1h
PSR1-N-1h_merged_sortfilt.bed	PSR1	Nitrogen	1h
PSR1-N-30m_merged_sortfilt.bed	PSR1	Nitrogen	30min
PSR1-S-1h_merged_sortfilt.bed	PSR1	Sulphur	1h
PSR1-S-2h_merged_sortfilt.bed	PSR1	Sulphur	2h
PSR1-S-6h_merged_sortfilt.bed	PSR1	Sulphur	6h
