filename	id	celltype	description	tissue
N_CS1.bed	CS1	Intragenic	Repressed	Conserved
N_CS10.bed	CS10	5'gene	no info	Algal
N_CS11.bed	CS11	5'gene	Promoter	Algal
N_CS12.bed	CS12	5'gene	no info	Algal
N_CS13.bed	CS13	5'gene	Promoter	Algal
N_CS14.bed	CS14	5'gene	Promoter	Conserved
N_CS15.bed	CS15	5'gene	no info	Conserved
N_CS16.bed	CS16	no info	Heterochromatin	Conserved
N_CS2.bed	CS2	Intragenic	Bivalent	Algal
N_CS3.bed	CS3	Intragenic	Transcribed	Conserved
N_CS4.bed	CS4	Intragenic	no info	Conserved
N_CS5.bed	CS5	3'gene	no info	Algal
N_CS6.bed	CS6	5'gene	no info	Conserved
N_CS7.bed	CS7	5'gene	no info	Conserved
N_CS8.bed	CS8	5'gene	no info	Conserved
N_CS9.bed	CS9	5'gene	Promoter	Algal
