filename	size
5mC_gametmas_all_sorted.bed	512
5mC_gametmenos_all_sorted.bed	614
5mC_vegmas_all_sorted.bed	706
5mC_vegmenos_all_sorted.bed	218
5mC_zyg1h_all_sorted.bed	607
5mC_zyg24h_all_sorted.bed	738
5mC_zyg6d_all_sorted.bed	998
5mC_zygger_all_sorted.bed	256
6mA_dark_sortfilt.bed	21980
6mA_light_sortfilt.bed	26676
H3K27ac-N-1h_merged_sortfilt.bed	12913
H3K27ac-R1-S-1h_sortfilt.bed	12978
H3K27ac-merged_sortfilt.bed	12708
H3K27me3-R1-N-1h_sortfilt.bed	544
H3K27me3-R1-S-1h_sortfilt.bed	537
H3K27me3-R1_sortfilt.bed	496
H3K36me3-R1-N-1h_sortfilt.bed	9393
H3K36me3-R1_sortfilt.bed	9137
H3K36me3-S-1h_merged_sortfilt.bed	9260
H3K4m3-merged_sortfilt.bed	13189
H3K4me2-R1_sortfilt.bed	6268
H3K4me3-N-1h_merged_sortfilt.bed	13515
H3K4me3-R1-N-10min_sortfilt.bed	11888
H3K4me3-R1-N-24h_sortfilt.bed	12321
H3K4me3-R1-N-2h_sortfilt.bed	12221
H3K4me3-R1-N-30min_sortfilt.bed	12091
H3K4me3-R1-N-48h_sortfilt.bed	12227
H3K4me3-R1-N-6h_sortfilt.bed	12397
H3K4me3-R1-N-8h_sortfilt.bed	12323
H3K4me3-R1-S-1h_sortfilt.bed	13192
H3K9me3-R1-N-1h_sortfilt.bed	8228
H3K9me3-R1-S-1h_sortfilt.bed	2313
H3K9me3-R1_sortfilt.bed	10741
PSR1-N-1h_merged_sortfilt.bed	331
PSR1-N-30m_merged_sortfilt.bed	617
PSR1-S-1h_merged_sortfilt.bed	796
PSR1-S-2h_merged_sortfilt.bed	557
PSR1-S-6h_merged_sortfilt.bed	1168
Pol2-R1-N-1h_sortfilt.bed	3218
Pol2-R1-S-1h_sortfilt.bed	4582
Pol2-R1_sortfilt.bed	3279
nucleosome_sortfilt.bed	393759
